18112716,18112737,18112756,18112763,18113010,18112905,18112914,18112932
18112717,18112738,18112755,18112762,18113011,18112907,18112915,18112933
18112718,18112739,0,0,18113008,0,18112916,18112934
18112719,18112740,18112761,18112771,18113009,18112909,18112917,18112935
18112720,18112741,0,0,18113012,0,18112918,18112938
18112721,18112742,18112757,18112764,18113013,18112908,18112919,18112936
18112722,18112743,0,0,18113014,0,18112920,18112939
18112723,18112744,0,0,18113015,0,18112921,18112940
18112724,18112745,18112759,18112765,18113017,18112910,18112922,18112942
18112725,18112746,0,0,18113018,0,18112923,18112944
18112726,18112747,0,0,18113019,0,18112924,0
18112727,18112748,0,0,18113020,0,18112925,0
18112730,18112749,0,0,18113021,0,18112926,0
18112731,18112750,0,0,18113022,0,18112927,0
18112732,18112751,0,0,18113023,0,18112929,0
18112733,18112752,18112760,18112770,18113024,18112911,18112930,0
18112734,18112753,0,0,18113025,0,18112931,0
